Dataset,Method,Layer,Metric,Mean A,Mean B,W-Statistic,P-Value,Significant (p<0.05)
commonsense_qa,PCA-G,9,Macro F1,0.4933417312851807,0.5015182820995431,159.0,0.13473508320748806,False
commonsense_qa,PCA-G,11,AUC,0.5221135999999998,0.5171253333333334,0.0,1.7333066441991056e-06,True
commonsense_qa,PCA-G,11,Macro F1,0.5234026377963555,0.5117661192129385,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,13,AUC,0.6981082666666667,0.6671104,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,13,Macro F1,0.6515013207586346,0.6221372349827412,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,15,AUC,0.7527397333333333,0.7294917333333333,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,15,Macro F1,0.6917182429914327,0.6667225522115863,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,17,AUC,0.7831392,0.7711765333333334,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,17,Macro F1,0.7105184204458551,0.6967316455775098,0.0,1.7333066441991056e-06,True
commonsense_qa,PCA-G,19,AUC,0.7770037333333334,0.7676933333333334,0.0,1.7333066441991056e-06,True
commonsense_qa,PCA-G,19,Macro F1,0.7075649327406208,0.6968069874322548,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,21,AUC,0.7802821333333334,0.7733552,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,21,Macro F1,0.7076945398101179,0.6925294187277088,1.0,3.725290298461914e-09,True
commonsense_qa,PCA-G,23,AUC,0.7785466666666668,0.7727888000000002,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,23,Macro F1,0.7071639443516531,0.6983279140597016,1.0,3.725290298461914e-09,True
commonsense_qa,PCA-G,25,AUC,0.7791210666666666,0.7706762666666669,0.0,1.7333066441991056e-06,True
commonsense_qa,PCA-G,25,Macro F1,0.7048137344052109,0.6960951257527932,11.0,1.0244548320770264e-07,True
commonsense_qa,PCA-G,27,AUC,0.7803125333333333,0.7718746666666665,0.0,1.7333066441991056e-06,True
commonsense_qa,PCA-G,27,Macro F1,0.6985231172544684,0.700031755505801,149.0,0.08793856762349606,False
commonsense_qa,PCA-G,29,AUC,0.7785167999999999,0.7698768,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,29,Macro F1,0.6991355259545489,0.6985112788756264,202.0,0.5425279382616282,False
commonsense_qa,PCA-G,31,AUC,0.7766469333333332,0.7687338666666668,0.0,1.862645149230957e-09,True
commonsense_qa,PCA-G,31,Macro F1,0.7004577889055211,0.6960021870865613,30.0,3.7904828786849976e-06,True
commonsense_qa,LR-G,1,AUC,0.5154698666666666,0.5421434666666668,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,1,Macro F1,0.383817769706576,0.3333333333333334,0.0,1.726772765612998e-06,True
